#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 12 -0.548753 -20.5695 -1.52602
2384 13 -0.0703843 -20.8181 -1.52317
2384 14 -0.545186 -21.9332 -1.46062
2384 23 -0.970895 -21.0792 -1.58801
2384 33 -0.094877 -20.2898 -1.60053
2384 50 -0.182475 -20.5931 -1.3906
2384 58 -0.665821 -20.4342 -1.47732
2384 78 0.287395 -20.39 -1.49042
2384 97 0.105152 -21.0912 -1.32267
2384 124 -0.0372981 -20.9132 -1.37032
2384 125 -0.0889037 -20.7489 -1.50283
2384 155 0.0671671 -20.4121 -1.43405
2384 159 0.325139 -20.4981 -1.54709
2384 167 -0.0192339 -19.9731 -1.42105
2384 187 -0.58067 -20.537 -1.46896
2384 199 -0.13848 -20.2611 -1.54336
2384 202 -0.295011 -20.7507 -1.49635
2384 207 -0.339915 -20.5523 -1.54737
2384 221 0.274308 -20.1344 -1.58828
2384 224 -0.195701 -20.1617 -1.50104
2384 261 -0.580587 -20.1925 -1.50308
2384 263 -0.116673 -20.184 -1.67073
2384 266 -0.138274 -20.1048 -1.44032
2384 273 0.147919 -20.8305 -1.50142
2384 278 0.0444324 -20.0608 -1.48501
2384 285 -0.787877 -20.8899 -1.60851
2384 305 -0.175939 -20.7438 -1.50019
2384 331 0.00870477 -20.7642 -1.60724
2384 354 0.125064 -21.2999 -1.59413
2384 361 0.18842 -20.8911 -1.22195
2384 374 -0.450861 -20.2832 -1.45529
2384 421 -0.304466 -20.2638 -1.66462
2384 445 0.46312 -20.7539 -1.64123
2384 471 0.0305484 -20.1229 -1.45909
2384 473 -0.69324 -20.4585 -1.38676
2384 480 -0.0818353 -21.4273 -1.4291
2384 498 -0.0447715 -20.529 -1.37326
2384 510 0.43091 -19.5969 -1.60779
2384 520 0.405847 -20.1249 -1.44336
2384 527 -0.824141 -20.7399 -1.47532
2384 529 0.261231 -20.1716 -1.41715
2384 536 0.0470733 -20.3736 -1.56706
2384 538 0.00197216 -21.2022 -1.63759
2384 543 0.231181 -20.2238 -1.48339
2384 544 -0.36667 -20.6074 -1.34197
2384 551 -0.036071 -20.5725 -1.5467
2384 576 0.203839 -20.7641 -1.61478
2384 577 -0.328442 -20.466 -1.44951
2384 586 0.230282 -20.9493 -1.41228
2384 590 -0.107758 -20.2062 -1.83721
2384 600 0.17485 -20.959 -1.54412
2384 602 -0.0897347 -20.3445 -1.55472
2384 615 -0.74763 -20.8905 -1.62089
2384 622 0.0500061 -20.2421 -1.46405
2384 630 -0.0737828 -20.6283 -1.20298
2384 631 0.42471 -20.1767 -1.43041
2384 633 -0.664612 -20.5222 -1.50977
2384 697 0.137486 -20.3239 -1.22197
2384 699 0.370552 -20.0829 -1.51244
2384 700 0.240167 -20.6267 -1.61246
2384 722 -0.305053 -20.272 -1.58936
2384 758 -0.773281 -21.7049 -1.55198
2384 772 -0.529881 -20.8302 -1.50364
2384 778 -0.578259 -20.2529 -1.5943
2384 845 -0.234558 -20.7747 -1.57486
2384 848 -0.720675 -20.7948 -1.45789
2384 849 -0.421674 -20.6251 -1.59786
2384 867 -0.00905592 -20.2515 -1.43996
2384 883 -0.102559 -20.6626 -1.4139
2384 908 -0.0510156 -20.5952 -1.4887
2384 925 0.912521 -20.7462 -1.48945
2384 936 -0.136097 -20.6502 -1.5594
2384 966 -0.526705 -19.5382 -1.35502
2384 972 0.216716 -20.5087 -1.29626
2384 989 0.0823978 -20.0831 -1.67158
2384 990 0.000891311 -20.2976 -1.56665
2384 1023 -0.358313 -20.8766 -1.4779
2384 1042 -0.888087 -20.8492 -1.41033
2384 1043 -0.385953 -20.5101 -1.55214
2384 1050 -0.506538 -20.805 -1.47933
2384 1066 -0.485293 -20.7923 -1.40835
2384 1081 -1.05563 -21.1258 -1.30023
2384 1086 0.24866 -20.8148 -1.6281
2384 1089 -0.513434 -20.2486 -1.48998
2384 1092 -0.0634271 -19.8684 -1.5089
2384 1095 -0.349077 -21.0605 -1.37171
2384 1103 -0.220526 -20.7379 -1.55393
2384 1105 -0.763385 -20.7294 -1.5206
2384 1131 -0.265795 -20.9891 -1.65187
2384 1138 -0.389918 -20.464 -1.45738
2384 1147 -0.123527 -20.9254 -1.40657
2384 1153 -0.458138 -20.4984 -1.5101
2384 1191 0.188139 -20.8029 -1.60351
2384 1206 0.00270357 -21.0582 -1.59972
2384 1231 0.271061 -21.0061 -1.48413
2384 1251 -0.197734 -19.9729 -1.38664
2384 1260 0.145669 -19.8171 -1.53561
2384 1291 0.223136 -20.7274 -1.53039
2384 1295 -0.0582367 -21.1142 -1.46075
2384 1300 -0.3109 -20.4852 -1.58797
2384 1314 0.351805 -20.558 -1.60686
2384 1325 0.371803 -20.642 -1.39059
2384 1360 -0.587314 -20.8291 -1.60414
2384 1365 0.424565 -20.7776 -1.53577
2384 1367 -0.173292 -20.1461 -1.4273
2384 1380 0.0371146 -20.297 -1.49708
2384 1384 0.0583488 -20.3843 -1.52482
2384 1385 0.436938 -20.4429 -1.53586
2384 1402 0.214406 -20.9241 -1.3775
2384 1407 -1.01021 -19.4673 -1.37592
2384 1409 -0.667165 -20.0562 -1.86801
2384 1421 -0.343823 -20.6823 -1.61551
2384 1422 0.0675277 -20.5671 -1.42695
2384 1460 -0.285284 -19.826 -1.55692
2384 1470 -0.247271 -19.9657 -1.47707
2384 1488 -0.514747 -20.5462 -1.49836
2384 1492 -0.684687 -20.7168 -1.75055
2384 1493 0.182919 -20.3358 -1.52814
2384 1503 -0.5592 -20.9602 -1.50598
2384 1518 -0.305718 -20.7864 -1.46411
2384 1523 -0.64652 -20.3894 -1.56594
2384 1524 0.464555 -21.0259 -1.6316
2384 1541 -0.42387 -20.8167 -1.46895
2384 1572 -0.201458 -20.5348 -1.57597
2384 1587 0.256256 -20.6838 -1.46781
2384 1598 -0.0968835 -20.5316 -1.53607
2384 1600 -0.178794 -20.5492 -1.51148
2384 1632 0.343127 -21.2947 -1.37186
2384 1656 -0.152846 -20.4442 -1.54328
2384 1665 0.0380105 -20.3601 -1.58528
2384 1668 -0.485088 -20.445 -1.36217
2384 1669 0.143527 -20.7254 -1.54625
2384 1693 -0.898678 -20.7778 -1.4491
2384 1720 0.141642 -21.111 -1.50893
2384 1734 -0.525931 -20.8657 -1.46922
2384 1743 -0.283383 -21.149 -1.40641
2384 1746 -0.254936 -20.4221 -1.39267
2384 1780 -0.308164 -20.4735 -1.50522
2384 1785 0.245598 -20.3946 -1.64866
2384 1787 -0.214852 -20.3728 -1.54678
2384 1819 0.364279 -20.2494 -1.55079
2384 1837 -0.17158 -20.601 -1.39843
2384 1839 0.0300043 -21.6574 -1.39997
2384 1863 -0.184831 -20.2417 -1.61423
2384 1868 0.318383 -20.246 -1.54086
2384 1877 0.239771 -20.9973 -1.57391
2384 1885 0.281425 -20.399 -1.43062
2384 1896 -0.593504 -20.3595 -1.42016
2384 1904 0.0812198 -20.2735 -1.38199
2384 1912 -0.279412 -20.7545 -1.49544
2384 1916 0.00868515 -20.7402 -1.60378
2384 1935 -0.0468501 -20.6332 -1.59486
2384 1951 -0.708592 -20.0371 -1.48726
2384 1952 -0.381161 -20.3823 -1.42142
2384 1958 -0.233403 -21.0295 -1.37013
2384 1969 -0.537879 -20.9922 -1.54595
2384 1982 -0.386433 -20.7607 -1.4189
2384 1985 0.304941 -20.4221 -1.60482
2384 1986 -0.228071 -20.9342 -1.5321
2384 1998 0.253448 -21.092 -1.39428
2384 2021 0.166381 -20.6493 -1.46368
2384 2026 -0.0330949 -20.1835 -1.49171
2384 2027 -0.572849 -20.5558 -1.33358
2384 2032 -0.340016 -20.2696 -1.4009
2384 2037 -0.279159 -20.1446 -1.438
2384 2050 -0.574541 -20.3524 -1.34779
2384 2062 0.508718 -20.2599 -1.35621
2384 2072 0.0745599 -20.0886 -1.40841
2384 2097 -0.0118765 -20.8017 -1.43653
2384 2121 0.243723 -20.7893 -1.52583
2384 2124 -0.410391 -20.2053 -1.46671
2384 2133 -0.257389 -20.3003 -1.65265
2384 2144 -0.953381 -21.4177 -1.46585
2384 2182 0.317672 -20.0082 -1.39159
2384 2183 -0.474858 -20.4387 -1.54441
2384 2188 -0.398531 -21.0155 -1.44511
2384 2211 0.0341027 -20.6158 -1.4473
2384 2225 0.00647878 -20.5547 -1.47652
2384 2248 -0.827204 -20.8211 -1.64988
2384 2264 0.083221 -20.0705 -1.51328
2384 2266 -0.327636 -20.2052 -1.55209
2384 2275 -0.152758 -20.7694 -1.12389
2384 2310 -0.591573 -20.4449 -1.4428
2384 2322 0.276573 -20.3586 -1.57572
